id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote_USD_price,quote_USD_volume_24h,quote_USD_volume_change_24h,quote_USD_percent_change_1h,quote_USD_percent_change_24h,quote_USD_percent_change_7d,quote_USD_percent_change_30d,quote_USD_percent_change_60d,quote_USD_percent_change_90d,quote_USD_market_cap,quote_USD_market_cap_dominance,quote_USD_fully_diluted_market_cap,quote_USD_tvl,quote_USD_last_updated,platform_id,platform_name,platform_symbol,platform_slug,platform_token_address,collection_timestamp
1,Bitcoin,BTC,bitcoin,12415,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",21000000.0,19932790.0,19932790.0,False,,1,,,,2025-10-12T06:59:00.000Z,111840.20866459014,87379669604.45323,-52.0194,0.0079585,-0.32214136,-10.53336205,-3.02061981,-6.33309427,-8.39215393,2229287392867.4556,59.7005,2348644381956.39,,2025-10-12T06:59:00.000Z,,,,,,2025-10-12 09:36:19.538578
1027,Ethereum,ETH,ethereum,10885,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'sophon-ecosystem']",,120703250.5285526,120703250.5285526,True,,2,,,,2025-10-12T06:59:00.000Z,3835.449646267379,51554907774.201225,-53.6191,0.55211728,1.35630149,-15.89435456,-15.49452833,-17.02057774,26.84330776,462951239543.05994,12.3979,462951239543.06,,2025-10-12T06:59:00.000Z,,,,,,2025-10-12 09:36:19.538578
825,Tether USDt,USDT,tether,151696,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'venom-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'peaq-ecosystem', 'apertum-ecosystem', 'etherlink-ecosystem', 'duckchain-ecosystem', 'onus-ecosystem', 'sophon-ecosystem', 'zedxion-smart-chain-ecosystem', 'xlayer-ecosystem']",,179163855952.5502,182009025857.20532,True,,3,,,,2025-10-12T06:59:00.000Z,1.0009408046976531,197245990751.2224,-51.5447,-0.00088929,-0.04520963,0.09281733,0.08612304,0.10617144,0.09350247,179332414149.88,4.8025,182180260803.75,,2025-10-12T06:59:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-10-12 09:36:19.538578
1839,BNB,BNB,bnb,2803,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'made-in-china']",,139182248.3,139182248.3,False,,4,,,,2025-10-12T07:00:00.000Z,1153.8440121326942,6907781312.331209,-39.497,0.30372164,4.86845169,-1.34162385,26.98641028,38.27502371,65.45488414,160594603796.12088,4.3007,160594603796.12,,2025-10-12T07:00:00.000Z,,,,,,2025-10-12 09:36:19.538578
52,XRP,XRP,xrp,1717,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",100000000000.0,59916045245.0,99985787384.0,False,,5,,,,2025-10-12T06:59:00.000Z,2.393025844950852,8793533878.230385,-55.7953,0.65929032,-1.36284633,-21.1405665,-21.64239555,-25.79140375,-18.28043905,143380644798.5296,3.8397,239302584495.09,,2025-10-12T06:59:00.000Z,,,,,,2025-10-12 09:36:19.538578
5426,Solana,SOL,solana,1015,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",,546564932.0389599,611727360.3146331,True,,6,525236893.3,95909031043.97443,,2025-10-12T06:59:00.000Z,182.6014742441064,10464637142.549658,-48.5076,0.45113226,-0.52037583,-22.384657,-23.31604421,-6.67619237,10.23140229,99803562360.4439,2.6727,111702317828.91,,2025-10-12T06:59:00.000Z,,,,,,2025-10-12 09:36:19.538578
3408,USDC,USDC,usd-coin,32768,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'xdc-ecosystem', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'venom-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'hyperevm-ecosystem', 'etherlink-ecosystem', 'unichain-ecosystem', 'vector-smart-chain-ecosystem', 'sophon-ecosystem', 'xlayer-ecosystem']",,75487340730.74193,75487340730.74193,False,,7,60901219650.23,60897962772.91261,,2025-10-12T06:59:00.000Z,0.999946521968918,21656963777.032196,-57.8012,0.0074475,-0.00429,0.02064564,0.02967703,0.02679112,0.0182425,75483303816.38803,2.0214,75483303816.39,,2025-10-12T06:59:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2025-10-12 09:36:19.538578
1958,TRON,TRX,tron,1239,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'made-in-china']",,94667190687.7633,94667187057.77501,True,,8,94667886298.43,29902843592.874516,,2025-10-12T06:59:00.000Z,0.3158710388717154,975445386.196447,-52.8056,0.16110521,-0.8485892,-7.6181271,-9.49235346,-10.85325471,4.5672718,29902623869.61058,0.8008,29902622723.0,,2025-10-12T06:59:00.000Z,,,,,,2025-10-12 09:36:19.538578
74,Dogecoin,DOGE,dogecoin,1317,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'osmosis-ecosystem', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america', 'binance-ecosystem', 'binance-listing']",,151315816383.70523,151315816383.70523,True,,9,,,,2025-10-12T07:00:00.000Z,0.1907192766628966,4774791147.593777,-57.8345,0.91587054,-0.86568967,-26.86051348,-26.94065975,-19.15340233,-7.58886908,28858843048.355938,0.7728,28858843048.36,,2025-10-12T07:00:00.000Z,,,,,,2025-10-12 09:36:19.538578
2010,Cardano,ADA,cardano,1596,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",45000000000.0,35834505705.15792,44994673107.93063,False,,10,37997904336.0,24710103420.38662,,2025-10-12T07:00:00.000Z,0.65030174300891,1720256015.9883316,-67.7356,0.30688241,-0.02135191,-25.05063951,-27.80925511,-23.08589067,-13.47083792,23303241519.926926,0.6241,29263578435.4,,2025-10-12T07:00:00.000Z,,,,,,2025-10-12 09:36:19.538578
